Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Product Development,BJSS LTD,9056,"60,588.60",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Product Development,BJSS LTD,9062,"74,354.50",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Platforms and Infrastructure,BJSS LTD,9070,"167,013.48",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Product Development,BJSS LTD,9075,"68,389.80",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Platforms and Infrastructure,BJSS LTD,9092,"77,180.40",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Platforms and Infrastructure,BJSS LTD,9154,"131,782.66",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Product Development,BJSS LTD,9215,"132,239.15",Workpackages
Department of Health and Social Care ,NHS Digital ,9/22/2019,Workpackage,Product Development,BJSS LTD,9266,"261,284.57",Workpackages
Department of Health and Social Care ,NHS Digital ,8/22/2019,Workpackage,Product Development,BJSS LTD,8960A,"234,367.47",Workpackages
Department of Health and Social Care ,NHS Digital ,8/16/2019,Workpackage,Product Development,BJSS LTD,8961A,"283,976.72",Workpackages
Department of Health and Social Care ,NHS Digital ,8/26/2019,Workpackage,Product Development,BJSS LTD,8965B,"127,253.40",Workpackages
Department of Health and Social Care ,NHS Digital ,8/26/2019,Workpackage,Platforms and Infrastructure,BJSS LTD,8989A,"59,239.20",Workpackages
Department of Health and Social Care ,NHS Digital ,8/26/2019,Workpackage,Product Development,BJSS LTD,9006B,"85,613.75",Workpackages
Department of Health and Social Care ,NHS Digital ,4/4/2019,Workpackage,Platforms and Infrastructure,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1110046792,"50,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/26/2019,Workpackage,Platforms and Infrastructure,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1110048270,"38,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/27/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30657999,"66,668.69",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/3/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30669360,"68,288.51",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/10/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30681430,"67,985.51",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/17/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30692343,"69,813.90",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/24/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30703026,"56,415.84",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/1/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30714190,"52,777.87",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/8/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30725397,"65,831.30",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/15/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30736019,"53,454.24",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/22/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30746488,"68,465.12",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/29/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30757603,"68,957.59",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/5/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30768063,"54,408.09",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/12/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30781485,"65,929.94",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/19/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30792312,"68,054.69",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/26/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30803018,"71,771.97",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/3/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30814808,"66,353.17",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/10/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30825234,"65,376.60",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/17/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30835773,"68,176.41",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/24/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30846055,"64,137.80",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/31/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30856929,"64,809.88",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/7/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30867458,"61,432.07",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/14/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30882806,"59,040.85",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/21/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30893205,"62,088.98",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/28/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30904433,"57,032.48",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/4/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30916957,"46,803.11",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/11/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30927281,"60,152.68",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/18/2019,Contingent Labour,Various,BROOK STREET (UK) LTD,30937471,"59,728.16",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/28/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,506472,"3,355,765.95",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/3/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,506922,"243,647.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/24/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,508439,"3,421,337.38",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/11/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,509866,"3,454,860.38",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/23/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,512990,"3,441,607.43",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/23/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,514203,"3,454,139.90",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/2/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790273500,"104,615.35",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/2/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790275982,"105,101.91",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/3/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790278207,"100,800.26",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/2/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790280577,"100,800.26",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/2/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790283211,"100,800.26",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/2/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,790285175,"100,800.26",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/17/2019,Managed Service,Platforms and Infrastructure,BT GLOBAL SERVICES,5.07E+11,"-134,638.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/24/2019,Software,Product Development,BYTES SOFTWARE SERVICES LTD,24483,"-25,229.51",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/29/2019,Software,Platforms and Infrastructure,BYTES SOFTWARE SERVICES LTD,553086,"44,481.74",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/31/2019,Software,Platforms and Infrastructure,BYTES SOFTWARE SERVICES LTD,561095,"2,646,807.33",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/31/2019,Software,Platforms and Infrastructure,BYTES SOFTWARE SERVICES LTD,561265,"179,921.40",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/31/2019,Software,Platforms and Infrastructure,BYTES SOFTWARE SERVICES LTD,561266,"137,495.34",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/14/2019,Software,Product Development,BYTES SOFTWARE SERVICES LTD,563548,"25,229.51",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/22/2019,Software,"Data, Insights and Statistics",BYTES SOFTWARE SERVICES LTD,569304,"53,276.16",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/25/2019,Software,Platforms and Infrastructure,BYTES SOFTWARE SERVICES LTD,570180,"141,015.60",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/3/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB10068,"65,512.34",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,7/16/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB10272,"98,472.49",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,8/2/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB10359A,"40,370.46",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,9/2/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB10496,"96,924.71",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,1/11/2018,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB9731,"41,097.75",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,4/2/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB9762,"26,041.01",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,4/16/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB9832,"68,654.79",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,5/16/2019,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB9962,"74,317.33",Conferences And Seminars
Department of Health and Social Care ,NHS Digital ,3/28/2019,Workpackage,Platforms and Infrastructure,CAPGEMINI UK PLC,2.60E+12,"61,559.09",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"145,584.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/15/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"100,686.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/22/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"32,624.40",Workpackages
Department of Health and Social Care ,NHS Digital ,6/17/2019,Workpackage,Corporate Services,CAPGEMINI UK PLC,2.60E+12,"153,552.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/17/2019,Workpackage,Corporate Services,CAPGEMINI UK PLC,2.60E+12,"46,704.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/18/2019,Workpackage,Platforms and Infrastructure,CAPGEMINI UK PLC,2.60E+12,"73,728.92",Workpackages
Department of Health and Social Care ,NHS Digital ,6/18/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"74,734.80",Workpackages
Department of Health and Social Care ,NHS Digital ,6/26/2019,Workpackage,Corporate Services,CAPGEMINI UK PLC,2.60E+12,"125,755.20",Workpackages
Department of Health and Social Care ,NHS Digital ,7/9/2019,Workpackage,Product Development,CAPGEMINI UK PLC,2.60E+12,"30,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/30/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"152,568.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/30/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"137,730.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,"Data, Insights and Statistics",CAPGEMINI UK PLC,2.60E+12,"97,203.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/24/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X128943,"80,749.21",Training Course Fees
Department of Health and Social Care ,NHS Digital ,3/28/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X129151,"53,697.43",Training Course Fees
Department of Health and Social Care ,NHS Digital ,4/21/2019,Course Fees,Corporate Services,CAPITA BUSINESS SERVICES LTD,X129693,"26,580.74",Training Course Fees
Department of Health and Social Care ,NHS Digital ,6/1/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X130561,"42,075.85",Training Course Fees
Department of Health and Social Care ,NHS Digital ,6/26/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X131019,"31,748.11",Training Course Fees
Department of Health and Social Care ,NHS Digital ,6/27/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X131068,"34,642.44",Training Course Fees
Department of Health and Social Care ,NHS Digital ,8/5/2019,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X131709,"45,365.10",Training Course Fees
Department of Health and Social Care ,NHS Digital ,8/5/2019,Course Fees,Various,CAPITA BUSINESS SERVICES LTD,X131710,"25,745.87",Training Course Fees
Department of Health and Social Care ,NHS Digital ,4/10/2019,Legal Fees and Services,Various ,CAPSTICKS SOLICITORS LLP,425464,"43,439.52",Legal Fees
Department of Health and Social Care ,NHS Digital ,5/14/2019,Legal Fees and Services,Various,CAPSTICKS SOLICITORS LLP,428151,"25,573.10",Legal Fees
Department of Health and Social Care ,NHS Digital ,9/11/2019,Legal Fees and Services,Various,CAPSTICKS SOLICITORS LLP,437848,"28,934.52",Legal Fees
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Product Development,CATER & CO THE SOCIAL KINETIC,1274,"29,999.40",Workpackages
Department of Health and Social Care ,NHS Digital ,5/2/2019,Software,Product Development,CDW LTD,PSINV02434106,"164,736.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/28/2019,Workpackage,Platforms and Infrastructure,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,8710026430,"40,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/26/2019,Workpackage,"Data, Insights and Statistics",COMPAREX UK LTD,190000071PAUKA,"35,828.40",Workpackages
Department of Health and Social Care ,NHS Digital ,7/26/2019,Workpackage,"Data, Insights and Statistics",COMPAREX UK LTD,190000072PAUKA,"41,227.20",Workpackages
Department of Health and Social Care ,NHS Digital ,4/4/2019,Software,"Data, Insights and Statistics",COMPAREX UK LTD,190000083VRUKA,"58,636.80",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/22/2019,Software,Platforms and Infrastructure,COMPUTACENTER (UK) LTD,3881904919,"48,480.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/26/2019,Software,Platforms and Infrastructure,COMPUTACENTER (UK) LTD,3881908554,"72,720.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/29/2019,Software,Platforms and Infrastructure,COMPUTACENTER (UK) LTD,3881914891,"96,960.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,4/9/2019,Software,Platforms and Infrastructure,COMPUTACENTER (UK) LTD,3881928662,"227,856.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/28/2019,Managed Service,Live Services (incl. Cyber Security),COMPUTACENTER (UK) LTD,3882038851,"56,894.04",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/28/2019,Managed Service,Live Services (incl. Cyber Security),COMPUTACENTER (UK) LTD,3882038852,"56,894.04",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,196,"28,290.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,197,"26,220.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/30/2019,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,211,"27,255.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/30/2019,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,0210B,"28,980.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/30/2019,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,0212B,"28,635.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/2/2019,Software,Product Development,CORA SYSTEMS LTD,INV0145A,"123,120.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/31/2019,Travel,Various,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8464,"364,307.09",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,4/30/2019,Travel,Various ,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8678,"302,499.20",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,5/31/2019,Travel,Various,CORPORATE TRAVEL MANAGEMENT NORTH LTD,8898,"324,810.10",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,6/21/2019,Travel,various,CORPORATE TRAVEL MANAGEMENT NORTH LTD,9050,"228,845.79",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,7/31/2019,Travel,Various,CORPORATE TRAVEL MANAGEMENT NORTH LTD,9395,"403,761.37",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,8/31/2019,Travel,Various,CORPORATE TRAVEL MANAGEMENT NORTH LTD,9535,"223,536.72",Travel & Subsistence (staff)
Department of Health and Social Care ,NHS Digital ,4/3/2019,Workpackage,Live Services (incl. Cyber Security),CRANFORD SOLUTIONS (UK) LTD,4724,"56,501.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/10/2019,Workpackage,Live Services (incl. Cyber Security),CRANFORD SOLUTIONS (UK) LTD,4748,"52,585.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/6/2019,Workpackage,Live Services (incl. Cyber Security),CRANFORD SOLUTIONS (UK) LTD,4763,"28,484.10",Workpackages
Department of Health and Social Care ,NHS Digital ,7/3/2019,Workpackage,Live Services (incl. Cyber Security),CRANFORD SOLUTIONS (UK) LTD,4778,"41,165.90",Workpackages
Department of Health and Social Care ,NHS Digital ,3/25/2019,Subscription,Product Development,CSC COMPUTER SCIENCES LTD,5201574135,"36,000.00","Books, Journals & Subscriptions"
Department of Health and Social Care ,NHS Digital ,9/4/2019,Workpackage,Product Development,CSS WIZARDRY LTD,274900244,"28,800.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Legal Fees and Services,Live Services (incl. Cyber Security),DAC BEACHCROFT LLP,2242939,"80,676.12",Legal Fees
Department of Health and Social Care ,NHS Digital ,6/21/2019,Rent,Corporate Services,DAC BEACHCROFT LLP,PPNHS6211400288,"98,745.24",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/1/2019,Managed Service,"Data, Insights and Statistics",DATABRICKS INC,INV6075,"208,589.69",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/30/2019,Managed Service,"Data, Insights and Statistics",DATABRICKS INC,INV8147,"35,672.75",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/12/2019,Managed Service,"Data, Insights and Statistics",DATABRICKS INC,INV8787,"38,374.15",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/21/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000643829,"143,204.39",Consultancy
Department of Health and Social Care ,NHS Digital ,6/21/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000643891,"67,968.00",Consultancy
Department of Health and Social Care ,NHS Digital ,7/17/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000681562,"118,800.00",Consultancy
Department of Health and Social Care ,NHS Digital ,8/7/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000712295,"147,330.00",Consultancy
Department of Health and Social Care ,NHS Digital ,8/7/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000712295,"29,466.00",Consultancy
Department of Health and Social Care ,NHS Digital ,9/11/2019,Consultancy,"Strategy,Policy and Governance",DELOITTE LLP,8000762699,"109,824.00",Consultancy
Department of Health and Social Care ,NHS Digital ,8/6/2019,Rent,Corporate Services,DEPARTMENT FOR WORK&PENSIONS (DWP),3974710,"83,740.22",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,4/3/2019,Audit Fees,Assurance and Risk Management,DEPARTMENT OF HEALTH,217002,"28,177.09",Audit Fees : Internal & Other
Department of Health and Social Care ,NHS Digital ,4/3/2019,Managed Service,Product Development,DEPARTMENT OF HEALTH,217006,"34,545.42",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/8/2019,Workpackage,Product Development,DEPARTMENT OF HEALTH,217026,"195,782.40",Workpackages
Department of Health and Social Care ,NHS Digital ,4/23/2019,Secondees,"Data, Insights and Statistics",DEPARTMENT OF HEALTH,217061,"46,457.63",Secondees
Department of Health and Social Care ,NHS Digital ,5/21/2019,Audit Fees,Assurance and Risk Management,DEPARTMENT OF HEALTH,217104,"37,619.65",Audit Fees : Internal & Other
Department of Health and Social Care ,NHS Digital ,6/17/2019,Workpackage,Product Development,DEPARTMENT OF HEALTH,217142,"95,320.30",Workpackages
Department of Health and Social Care ,NHS Digital ,7/4/2019,Audit Fees,Assurance and Risk Management,DEPARTMENT OF HEALTH,217171,"28,840.76",Audit Fees : Internal & Other
Department of Health and Social Care ,NHS Digital ,7/4/2019,Rent,Corporate Services,DEPARTMENT OF HEALTH,217180,"453,522.55",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,9/9/2019,Workpackage,Product Development,DEPARTMENT OF HEALTH,217294,"99,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/4/2019,Workpackage,"Data, Insights and Statistics",DIABETES UK,34850,"54,658.50",Workpackages
Department of Health and Social Care ,NHS Digital ,6/28/2019,Workpackage,"Data, Insights and Statistics",DIABETES UK,34957,"54,658.50",Workpackages
Department of Health and Social Care ,NHS Digital ,4/26/2019,Workpackage,Live Services (incl. Cyber Security),DIONACH LTD,6073,"132,600.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/28/2019,Workpackage,Live Services (incl. Cyber Security),DIONACH LTD,6188,"28,560.00",Workpackages
Department of Health and Social Care ,NHS Digital ,2/27/2019,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54902559,"53,465.75",Legal Fees
Department of Health and Social Care ,NHS Digital ,3/28/2019,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54905395,"67,239.87",Legal Fees
Department of Health and Social Care ,NHS Digital ,4/30/2019,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54909675,"73,077.40",Legal Fees
Department of Health and Social Care ,NHS Digital ,5/31/2019,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54911653,"84,138.12",Legal Fees
Department of Health and Social Care ,NHS Digital ,6/27/2019,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54913564,"37,005.53",Legal Fees
Department of Health and Social Care ,NHS Digital ,3/31/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV004680,"299,772.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV004779,"281,259.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/31/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV004868,"281,679.75",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/1/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV004942,"267,374.25",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/31/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV005009,"322,492.50",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/30/2019,Managed Service,Platforms and Infrastructure,DMW GROUP LTD,INV005091,"255,593.25",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/28/2019,Rent,Corporate Services,EAGLE ONE LTD,SI500141,"31,500.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/29/2019,Rent,Corporate Services,EAGLE ONE LTD,SI500191,"31,500.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,6/19/2019,Managed Service,Product Development,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV047572,"35,707.94",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/30/2019,Software,Product Development,ENTERPRISEDB,INVUK123031,"64,660.80",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),ERNST & YOUNG LLP,GB10300037717,"28,950.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/23/2019,Rent,Corporate Services,EVERSHEDS LLP,12001422,"239,297.14",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/19/2019,Rent,Corporate Services,EVERSHEDS LLP,12001494,"239,297.14",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,3/12/2019,Rates,Corporate Services,EXETER CITY COUNCIL,7.00E+19,"41,832.00",Rates
Department of Health and Social Care ,NHS Digital ,3/12/2019,Rates,Corporate Services,EXETER CITY COUNCIL,7.00E+19,"70,656.10",Rates
Department of Health and Social Care ,NHS Digital ,5/31/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,414149,"27,104.34",Data Lines
Department of Health and Social Care ,NHS Digital ,7/1/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,424836,"65,835.00",Data Lines
Department of Health and Social Care ,NHS Digital ,7/18/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,427336,"137,660.53",Data Lines
Department of Health and Social Care ,NHS Digital ,7/19/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,427350,"205,515.00",Data Lines
Department of Health and Social Care ,NHS Digital ,8/9/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,433880,"70,073.02",Data Lines
